ticket_id,title,description,priority,status,component,reporter,assignee,environment,sdlc_phase,created_date,resolved_date,time_spent_minutes,browser,os
JIRA-2573,Search results return wrong data,Bug found in payment module.,HIGH,Complete,AUTH,,product@company.com,,,1732586580.0,2024-12-09 06:33:00,N/A,IE,Mac
JIRA-1042,Login button not responding on mobile,Bug found in api module.,Normal,REOPENED,Database,dev.lead@company.com,UNKNOWN,,Testing,,N/A,,FIREFOX,iOS
JIRA-1732,Payment gateway returns 500 error,Bug found in auth module.,Low,Verified,DB,john.doe@company.com,,Production,QA,,2024-04-28 02:43:00,1 day,FIREFOX,Windows 10
JIRA-2683,Session timeout too short,Bug found in auth module.,High,Done,,UNKNOWN,,Testing,Deployment,,04/22/2024,38.3,Safari,Win10
JIRA-1622,File upload fails for PDF files,Bug found in auth module.,,Closed,Authentication,,qa.team@company.com,DEV,Maintenance,1704600120.0,2024-01-25 07:32:00,1 day,IE,Win10
JIRA-1489,Chart rendering fails with large datasets,Bug found in dashboard module.,HIGH,IN_PROGRESS,Notifications,john.doe@company.com,UNKNOWN,QA,Development,04/26/2024 10:22,Not Yet,240,chrome,ubuntu
JIRA-2348,Payment gateway returns 500 error,Bug found in db module.,CRITICAL,RESOLVED,AUTH,jane.smith@company.com,jane.smith@company.com,Staging,DESIGN,,2024-02-05 17:46:00,N/A,IE,Mac
JIRA-1791,File upload fails for PDF files,Bug found in auth module.,Normal,Reopened,Database,product@company.com,UNKNOWN,,DESIGN,2024-12-15 22:03:00,N/A,1 day,Edge,macOS
JIRA-1904,Form validation bypassed on submit,Bug found in auth module.,Critical,IN_PROGRESS,payment-gateway,,,DEV,QA,,Not Yet,2 hours,Edge,Win10
JIRA-1978,Search results return wrong data,Bug found in dashboard module.,Normal,Done,EMAIL,UNKNOWN,product@company.com,staging,DESIGN,05/28/2024 11:48,Not Yet,32.3,Chrome,Windows 10
JIRA-1951,User permissions not applied correctly,Bug found in payment module.,Medium,IN_PROGRESS,UI,UNKNOWN,UNKNOWN,,Maintenance,,N/A,205,Edge,Mac
JIRA-1409,Mobile app crashes on startup,Bug found in auth module.,High,IN_PROGRESS,api-gateway,,jane.smith@company.com,Development,Design,17-Nov-2024 01:20:00,N/A,0,chrome,ubuntu
JIRA-1244,Slow query on reports page,Bug found in payment module.,Trivial,RESOLVED,UI,qa.team@company.com,UNKNOWN,staging,Testing,,Not Yet,18.3,Firefox,macOS
JIRA-1110,Export to CSV produces empty file,Bug found in payment module.,Low,New,user-dashboard,dev.lead@company.com,dev.lead@company.com,STAGE,QA,,2024-08-29 21:16:00,0.8,Safari,ubuntu
JIRA-1603,Payment gateway returns 500 error,Bug found in api module.,P0,REOPENED,payment-gateway,,,development,Dev,2024-11-07 10:32:00,Not Yet,2 hours,Firefox,Win10
JIRA-1315,Slow query on reports page,Bug found in auth module.,Critical,Reopened,auth-service,product@company.com,jane.smith@company.com,prod,Maintenance,,12/30/2024,5.6,,Windows 10
JIRA-1607,Mobile app crashes on startup,Bug found in auth module.,Blocker,IN_PROGRESS,notification-service,jane.smith@company.com,UNKNOWN,Testing,,1721716020.0,N/A,1 day,chrome,Win10
JIRA-1196,Password reset link expired instantly,Bug found in payment module.,P0,OPEN,api-gateway,john.doe@company.com,,dev,Design,06/15/2024 15:50,2024-06-26 07:50:00,,chrome,ubuntu
JIRA-2064,Login button not responding on mobile,Bug found in payment module.,High,InProgress,,dev.lead@company.com,,Testing,Maintenance,01/29/2024 11:35,2024-02-03 04:35:00,1 day,Chrome,Win10
JIRA-1738,Login button not responding on mobile,Bug found in dashboard module.,Critical,Verified,Backend,dev.lead@company.com,qa.team@company.com,prod,Development,1727072700.0,N/A,0,Safari,macOS
JIRA-1036,Form validation bypassed on submit,Bug found in db module.,Major,Working,auth-service,qa.team@company.com,dev.lead@company.com,dev,Design,2024-08-10 22:38:00,08/31/2024,0,,Linux
JIRA-1477,Slow query on reports page,Bug found in db module.,P0,OPEN,Payment,UNKNOWN,,prod,Deployment,,,28.9,IE,
JIRA-2211,Password reset link expired instantly,Bug found in db module.,P0,TODO,API,john.doe@company.com,john.doe@company.com,stg,QA,,2024-03-17 18:58:00,150,Safari,ubuntu
JIRA-2331,Database timeout on user search,Bug found in api module.,P2,Done,notification-service,,jane.smith@company.com,DEV,Deployment,1723720080.0,Not Yet,2 hours,Chrome,Windows 10
JIRA-1670,Null pointer exception in auth module,Bug found in auth module.,P1,Done,auth-service,dev.lead@company.com,product@company.com,Testing,Requirements,05/10/2024 04:09,Not Yet,0,Edge,Windows 10
JIRA-1422,Password reset link expired instantly,Bug found in dashboard module.,P0,New,database,john.doe@company.com,qa.team@company.com,dev,Development,,2024-10-24 23:10:00,N/A,Chrome,Android
JIRA-1518,Null pointer exception in auth module,Bug found in api module.,,Open,UI,product@company.com,qa.team@company.com,development,Testing,1717958280.0,N/A,2 hours,Chrome,Windows 10
JIRA-2240,Search results return wrong data,Bug found in payment module.,Major,Verified,,product@company.com,UNKNOWN,,Design,05-Jul-2024 15:04:00,,12.6,chrome,Linux
JIRA-2917,Login button not responding on mobile,Bug found in db module.,Low,REOPENED,API,,UNKNOWN,PROD,Development,1705053060.0,N/A,27.5,FIREFOX,
JIRA-2160,Timezone conversion incorrect,Bug found in api module.,P3,Done,Payment,jane.smith@company.com,product@company.com,QA,,,06/22/2024,0,Chrome,ubuntu
JIRA-1260,Email notifications not being sent,Bug found in auth module.,,Done,DB,UNKNOWN,jane.smith@company.com,production,DESIGN,14-Dec-2024 14:57:00,N/A,1 day,FIREFOX,Mac
JIRA-2268,Password reset link expired instantly,Bug found in auth module.,Normal,Working,API,,product@company.com,stg,,,Not Yet,N/A,Safari,Win10
JIRA-1095,Null pointer exception in auth module,Bug found in api module.,Normal,Complete,UI,dev.lead@company.com,jane.smith@company.com,prod,Testing,2024-02-17 21:13:00,Not Yet,,chrome,Windows 10
JIRA-2667,API rate limiter not working,Bug found in api module.,Major,Working,notification-service,jane.smith@company.com,jane.smith@company.com,PROD,Deployment,06/28/2024 04:00,N/A,97,Firefox,Android
JIRA-2925,Export to CSV produces empty file,Bug found in db module.,P3,Fixed,Notifications,UNKNOWN,product@company.com,UAT,requirements,,06/19/2024,2 hours,,
JIRA-1379,User permissions not applied correctly,Bug found in dashboard module.,Minor,New,Payment,,,Development,DESIGN,13-Dec-2024 04:10:00,Not Yet,N/A,Firefox,iOS
JIRA-2707,Payment gateway returns 500 error,Bug found in auth module.,MEDIUM,,Authentication,,qa.team@company.com,stg,QA,30-Dec-2024 23:48:00,Not Yet,19.4,IE,Mac
JIRA-1171,Session timeout too short,Bug found in auth module.,,TODO,AUTH,,,,Development,04/17/2024 15:57,N/A,N/A,Firefox,Android
JIRA-2966,User permissions not applied correctly,Bug found in payment module.,P1,Open,Database,UNKNOWN,UNKNOWN,Development,requirements,,2024-02-25 22:13:00,N/A,Safari,Mac
JIRA-1203,User permissions not applied correctly,Bug found in api module.,HIGH,New,database,,,Staging,QA,,06/08/2024,2 hours,Firefox,Windows 10
JIRA-1415,Password reset link expired instantly,Bug found in dashboard module.,HIGH,Resolved,,,qa.team@company.com,development,Design,1717488240.0,Not Yet,1 day,FIREFOX,Linux
JIRA-2943,CSS broken on Safari browser,Bug found in payment module.,Major,Working,,qa.team@company.com,,staging,,02-Jun-2024 04:02:00,,-1,Chrome,macOS
JIRA-2805,Chart rendering fails with large datasets,Bug found in db module.,Trivial,Open,Backend,jane.smith@company.com,,Development,Development,,2024-03-26 06:31:00,N/A,IE,Mac
JIRA-2516,UI overlapping on dashboard widgets,Bug found in payment module.,CRITICAL,,database,UNKNOWN,,staging,DESIGN,05-Nov-2024 23:51:00,Not Yet,0.5,FIREFOX,Win10
JIRA-2229,API rate limiter not working,Bug found in db module.,P2,TODO,Notifications,qa.team@company.com,qa.team@company.com,stg,Maintenance,19-Dec-2024 07:10:00,,2 hours,FIREFOX,Mac
JIRA-1179,API rate limiter not working,Bug found in payment module.,Trivial,InProgress,Authentication,jane.smith@company.com,,dev,Testing,1713344220.0,N/A,413,Edge,iOS
JIRA-2011,Email notifications not being sent,Bug found in api module.,Critical,OPEN,payment-gateway,product@company.com,john.doe@company.com,Staging,Design,2024-03-28 16:20:00,N/A,1 day,chrome,
JIRA-1430,Chart rendering fails with large datasets,Bug found in api module.,High,Re-opened,Notifications,,dev.lead@company.com,QA,Deployment,09/27/2024 12:07,,-1,Chrome,Linux
JIRA-1643,Email notifications not being sent,Bug found in payment module.,HIGH,In Progress,Database,UNKNOWN,product@company.com,Staging,DESIGN,08/07/2024 11:44,,-1,Edge,Android
JIRA-2407,Session timeout too short,Bug found in payment module.,Blocker,RESOLVED,Authentication,,dev.lead@company.com,PROD,,06/20/2024 09:21,,N/A,IE,Windows 10
JIRA-2055,CSS broken on Safari browser,Bug found in db module.,HIGH,RESOLVED,,qa.team@company.com,,Development,Testing,1713190860.0,2024-04-19 07:51:00,2 hours,Firefox,Linux
JIRA-1481,User permissions not applied correctly,Bug found in payment module.,Major,IN_PROGRESS,UI,qa.team@company.com,,Production,Deployment,03/21/2024 02:14,2024-03-31 01:14:00,8.1,chrome,Android
JIRA-1314,Payment gateway returns 500 error,Bug found in auth module.,P1,REOPENED,Notifications,qa.team@company.com,qa.team@company.com,DEV,,2024-03-30 03:46:00,N/A,-1,chrome,
JIRA-1441,Email notifications not being sent,Bug found in dashboard module.,,Closed,PAYMENT,UNKNOWN,,production,requirements,12/02/2024 08:58,Not Yet,338,Firefox,Mac
JIRA-2942,Export to CSV produces empty file,Bug found in api module.,P0,RESOLVED,Dashboard,dev.lead@company.com,product@company.com,,Requirements,,N/A,-1,IE,Windows 10
JIRA-1960,Timezone conversion incorrect,Bug found in payment module.,Low,Working,Payment,john.doe@company.com,product@company.com,Development,Design,09/06/2024 00:28,Not Yet,174,IE,macOS
JIRA-2231,Form validation bypassed on submit,Bug found in dashboard module.,Minor,OPEN,payment-gateway,product@company.com,UNKNOWN,UAT,Maintenance,12/02/2024 06:31,2024-12-19 09:31:00,229,chrome,Linux
JIRA-1844,Form validation bypassed on submit,Bug found in db module.,Blocker,RESOLVED,auth-service,UNKNOWN,,PROD,Dev,12/31/2024 17:08,01/11/2025,-1,Chrome,iOS
JIRA-2375,Chart rendering fails with large datasets,Bug found in dashboard module.,Trivial,Resolved,AUTH,product@company.com,product@company.com,PROD,Testing,INVALID_DATE,08/22/2024,,FIREFOX,Linux
JIRA-2415,Export to CSV produces empty file,Bug found in api module.,,REOPENED,UI,jane.smith@company.com,product@company.com,STAGE,Design,2024-05-15 11:45:00,N/A,32.6,Safari,ubuntu
JIRA-2271,Session timeout too short,Bug found in payment module.,P2,Resolved,EMAIL,john.doe@company.com,jane.smith@company.com,Development,Maintenance,1729777980.0,N/A,20.7,Chrome,Mac
JIRA-2059,Export to CSV produces empty file,Bug found in db module.,Normal,New,AUTH,UNKNOWN,UNKNOWN,Staging,Maintenance,1726772580.0,,0,chrome,Android
JIRA-1918,Password reset link expired instantly,Bug found in auth module.,Low,New,api-gateway,dev.lead@company.com,john.doe@company.com,staging,Testing,,2024-09-28 12:04:00,,,
JIRA-2544,Session timeout too short,Bug found in api module.,High,IN_PROGRESS,api-gateway,product@company.com,dev.lead@company.com,prod,DESIGN,,Not Yet,261,Safari,Android
JIRA-2020,Chart rendering fails with large datasets,Bug found in dashboard module.,Minor,Verified,notification-service,,jane.smith@company.com,Development,Maintenance,1707828840.0,02/27/2024,20.6,Safari,Windows 10
JIRA-2179,Null pointer exception in auth module,Bug found in payment module.,P0,OPEN,,product@company.com,,,Dev,15-Jun-2024 04:59:00,N/A,,,Linux
JIRA-1126,Session timeout too short,Bug found in dashboard module.,P2,RESOLVED,PAYMENT,UNKNOWN,dev.lead@company.com,Production,Requirements,2024-08-01 23:10:00,Not Yet,N/A,FIREFOX,Win10
JIRA-2192,CSS broken on Safari browser,Bug found in db module.,P0,Complete,Authentication,jane.smith@company.com,product@company.com,dev,DESIGN,09-Nov-2024 17:45:00,Not Yet,,Safari,
JIRA-2511,Mobile app crashes on startup,Bug found in db module.,Normal,RESOLVED,Authentication,qa.team@company.com,UNKNOWN,Production,QA,1712824440.0,Not Yet,-1,FIREFOX,iOS
JIRA-1544,Null pointer exception in auth module,Bug found in payment module.,Major,TODO,database,john.doe@company.com,qa.team@company.com,dev,Maintenance,31-Aug-2024 22:47:00,N/A,,IE,ubuntu
JIRA-1965,Database timeout on user search,Bug found in dashboard module.,Blocker,RESOLVED,Notifications,jane.smith@company.com,john.doe@company.com,stg,,2024-01-15 05:09:00,,N/A,IE,
JIRA-1824,Slow query on reports page,Bug found in payment module.,Blocker,Re-opened,Notifications,john.doe@company.com,product@company.com,UAT,Maintenance,,,96,IE,macOS
JIRA-1470,Chart rendering fails with large datasets,Bug found in auth module.,,Reopened,Notifications,,,Production,requirements,18-Apr-2024 16:31:00,2024-05-02 07:31:00,433,chrome,iOS
JIRA-1099,API rate limiter not working,Bug found in auth module.,Normal,Verified,user-dashboard,john.doe@company.com,qa.team@company.com,UAT,Maintenance,05-Jul-2024 16:35:00,07/31/2024,N/A,IE,
JIRA-2929,Slow query on reports page,Bug found in auth module.,P3,Reopened,API,,john.doe@company.com,DEV,Testing,,2024-02-19 22:12:00,N/A,Chrome,ubuntu
JIRA-2816,Password reset link expired instantly,Bug found in api module.,,TODO,api-gateway,UNKNOWN,product@company.com,Staging,Maintenance,2024-05-03 18:07:00,,2 hours,FIREFOX,Linux
JIRA-1043,File upload fails for PDF files,Bug found in dashboard module.,Medium,IN_PROGRESS,API,,dev.lead@company.com,dev,,06/02/2024 06:57,06/30/2024,,chrome,
JIRA-2131,Payment gateway returns 500 error,Bug found in db module.,Low,CLOSED,Database,qa.team@company.com,product@company.com,Staging,Deployment,06-Oct-2024 17:53:00,,N/A,Chrome,Win10
JIRA-2525,Memory leak in background service,Bug found in api module.,MEDIUM,TODO,,UNKNOWN,qa.team@company.com,development,requirements,1724381280.0,,N/A,Firefox,ubuntu
JIRA-2084,Null pointer exception in auth module,Bug found in payment module.,Critical,Reopened,,,product@company.com,Testing,Testing,,12/08/2024,8.0,Chrome,Windows 10
JIRA-2151,Mobile app crashes on startup,Bug found in auth module.,Low,OPEN,DB,qa.team@company.com,,staging,Testing,1718304120.0,Not Yet,0,,Android
JIRA-2784,UI overlapping on dashboard widgets,Bug found in api module.,CRITICAL,IN_PROGRESS,AUTH,qa.team@company.com,,stg,Development,05/19/2024 08:37,2024-06-15 02:37:00,,IE,Linux
JIRA-1113,Email notifications not being sent,Bug found in dashboard module.,,New,Dashboard,,,UAT,Testing,INVALID_DATE,2024-03-04 13:21:00,1 day,Edge,ubuntu
JIRA-1527,Timezone conversion incorrect,Bug found in auth module.,LOW,,,,product@company.com,PROD,QA,,01/10/2024,2 hours,FIREFOX,Mac
JIRA-1984,Search results return wrong data,Bug found in dashboard module.,HIGH,Done,Notifications,,,UAT,Design,26-May-2024 00:43:00,06/03/2024,1 day,,
JIRA-1123,Form validation bypassed on submit,Bug found in dashboard module.,Medium,Open,EMAIL,qa.team@company.com,dev.lead@company.com,dev,DESIGN,10/05/2024 20:46,Not Yet,N/A,IE,Mac
JIRA-1273,File upload fails for PDF files,Bug found in auth module.,Normal,Complete,notification-service,dev.lead@company.com,dev.lead@company.com,production,Dev,1728305760.0,10/15/2024,1 day,FIREFOX,
JIRA-1876,Session timeout too short,Bug found in api module.,P3,Re-opened,Payment,product@company.com,product@company.com,PROD,Requirements,1719327720.0,,0,FIREFOX,ubuntu
JIRA-2626,Session timeout too short,Bug found in payment module.,HIGH,Open,Backend,product@company.com,,development,Requirements,20-Apr-2024 21:48:00,2024-04-30 19:48:00,,chrome,
JIRA-2914,Chart rendering fails with large datasets,Bug found in api module.,Low,Resolved,database,john.doe@company.com,qa.team@company.com,prod,Maintenance,,Not Yet,-1,Edge,iOS
JIRA-2758,Email notifications not being sent,Bug found in dashboard module.,MEDIUM,CLOSED,Authentication,dev.lead@company.com,qa.team@company.com,DEV,Design,14-Apr-2024 19:32:00,2024-05-14 06:32:00,-1,IE,Windows 10
JIRA-1279,File upload fails for PDF files,Bug found in api module.,Normal,Complete,Payment,dev.lead@company.com,john.doe@company.com,staging,Dev,04-Dec-2024 08:20:00,2024-12-24 09:20:00,-1,Firefox,iOS
JIRA-2301,Payment gateway returns 500 error,Bug found in db module.,High,Resolved,user-dashboard,qa.team@company.com,product@company.com,,requirements,,N/A,344,Safari,Linux
JIRA-1348,Chart rendering fails with large datasets,Bug found in auth module.,Medium,Done,Notifications,product@company.com,dev.lead@company.com,UAT,Requirements,2024-06-20 16:01:00,2024-07-11 19:01:00,1 day,FIREFOX,
JIRA-1940,User permissions not applied correctly,Bug found in api module.,,TODO,database,,jane.smith@company.com,development,Maintenance,2024-06-08 05:54:00,06/15/2024,N/A,Firefox,macOS
JIRA-1587,Null pointer exception in auth module,Bug found in auth module.,Major,Closed,AUTH,dev.lead@company.com,,DEV,Requirements,09/14/2024 12:30,10/09/2024,,,Windows 10
JIRA-2745,Mobile app crashes on startup,Bug found in dashboard module.,Minor,New,api-gateway,qa.team@company.com,product@company.com,QA,Dev,2024-12-16 12:54:00,2024-12-23 15:54:00,,,Mac
JIRA-2012,CSS broken on Safari browser,Bug found in dashboard module.,Medium,IN_PROGRESS,UI,,john.doe@company.com,prod,DESIGN,,N/A,,Firefox,iOS
JIRA-1442,Session timeout too short,Bug found in payment module.,Critical,Reopened,PAYMENT,product@company.com,product@company.com,development,Maintenance,1723516020.0,N/A,226,,Android
JIRA-1356,Payment gateway returns 500 error,Bug found in payment module.,High,Done,Dashboard,john.doe@company.com,dev.lead@company.com,stg,Testing,2024-01-26 05:15:00,Not Yet,477,FIREFOX,ubuntu
JIRA-2663,Export to CSV produces empty file,Bug found in api module.,Normal,REOPENED,Dashboard,qa.team@company.com,,development,Maintenance,08/29/2024 07:36,,2 hours,FIREFOX,Windows 10
JIRA-2731,User permissions not applied correctly,Bug found in auth module.,P3,New,auth-service,UNKNOWN,product@company.com,stg,Development,1732949640.0,2024-12-31 05:24:00,2 hours,FIREFOX,Mac
JIRA-2687,Search results return wrong data,Bug found in api module.,Low,,database,dev.lead@company.com,UNKNOWN,Development,Dev,12/10/2024 20:25,,N/A,Safari,ubuntu
JIRA-1638,API rate limiter not working,Bug found in api module.,Critical,Re-opened,API,,,STAGE,Testing,16-Dec-2024 00:43:00,,2 hours,Safari,
JIRA-2615,Email notifications not being sent,Bug found in db module.,,Fixed,api-gateway,UNKNOWN,qa.team@company.com,prod,Deployment,,Not Yet,0,Safari,Android
JIRA-1148,Search results return wrong data,Bug found in dashboard module.,P2,OPEN,api-gateway,dev.lead@company.com,,staging,Design,1711004520.0,,58,IE,
JIRA-1875,Memory leak in background service,Bug found in dashboard module.,High,OPEN,,product@company.com,,Production,Testing,2024-12-06 19:27:00,,2 hours,Chrome,Linux
JIRA-2998,Null pointer exception in auth module,Bug found in dashboard module.,Major,Closed,AUTH,,jane.smith@company.com,stg,Testing,2024-04-21 18:38:00,N/A,-1,Safari,macOS
JIRA-1830,User permissions not applied correctly,Bug found in dashboard module.,Trivial,Re-opened,Authentication,qa.team@company.com,john.doe@company.com,development,Dev,1724653260.0,09/13/2024,1 day,Chrome,ubuntu
JIRA-1681,Search results return wrong data,Bug found in payment module.,Critical,In Progress,UI,john.doe@company.com,dev.lead@company.com,DEV,Requirements,2024-06-22 03:06:00,06/30/2024,33.8,Firefox,Linux
JIRA-2376,Payment gateway returns 500 error,Bug found in dashboard module.,Major,CLOSED,Database,john.doe@company.com,,PROD,requirements,,2024-04-18 06:40:00,2 hours,Safari,Linux
JIRA-2779,Null pointer exception in auth module,Bug found in db module.,Critical,In Progress,auth-service,jane.smith@company.com,dev.lead@company.com,stg,Maintenance,03/14/2024 09:23,03/19/2024,-1,Safari,Mac
JIRA-2801,Payment gateway returns 500 error,Bug found in dashboard module.,High,Working,UI,jane.smith@company.com,,Development,Requirements,11-Feb-2024 11:29:00,02/28/2024,1 day,Safari,Mac
JIRA-2046,Null pointer exception in auth module,Bug found in payment module.,Critical,CLOSED,API,qa.team@company.com,product@company.com,Production,Maintenance,13-Oct-2024 02:38:00,2024-10-28 20:38:00,1 day,chrome,
JIRA-1559,File upload fails for PDF files,Bug found in api module.,P0,Complete,auth-service,product@company.com,jane.smith@company.com,QA,Maintenance,06-Apr-2024 20:48:00,N/A,2 hours,Safari,Android
JIRA-1443,API rate limiter not working,Bug found in dashboard module.,P0,Done,DB,product@company.com,,production,Dev,01/18/2024 01:13,2024-02-04 05:13:00,12.7,Safari,Linux
JIRA-2159,Null pointer exception in auth module,Bug found in payment module.,Minor,Done,Dashboard,dev.lead@company.com,UNKNOWN,development,Design,2024-10-02 19:32:00,,0,FIREFOX,Android
JIRA-2928,Memory leak in background service,Bug found in payment module.,Major,Fixed,database,jane.smith@company.com,,dev,Testing,04/28/2024 09:46,2024-05-06 00:46:00,399,Firefox,iOS
JIRA-2603,File upload fails for PDF files,Bug found in auth module.,Normal,CLOSED,API,,,prod,Requirements,09/13/2024 08:26,2024-10-04 00:26:00,0,chrome,Android
JIRA-1333,Mobile app crashes on startup,Bug found in api module.,Low,,notification-service,UNKNOWN,qa.team@company.com,Production,Requirements,,03/02/2024,55,Safari,Linux
JIRA-1695,User permissions not applied correctly,Bug found in payment module.,Blocker,REOPENED,AUTH,qa.team@company.com,dev.lead@company.com,STAGE,Design,2024-03-14 18:32:00,N/A,N/A,Safari,Linux
JIRA-2768,Export to CSV produces empty file,Bug found in db module.,High,RESOLVED,EMAIL,,jane.smith@company.com,STAGE,Dev,06/21/2024 01:03,,429,FIREFOX,
JIRA-1020,Database timeout on user search,Bug found in auth module.,,In Progress,Dashboard,qa.team@company.com,dev.lead@company.com,Staging,Dev,2024-07-09 14:00:00,Not Yet,-1,Firefox,Android
JIRA-1829,Export to CSV produces empty file,Bug found in auth module.,Major,Working,AUTH,,dev.lead@company.com,Staging,Dev,10/25/2024 09:45,N/A,2 hours,Safari,Win10
JIRA-1322,Session timeout too short,Bug found in payment module.,Normal,TODO,EMAIL,,jane.smith@company.com,,Deployment,05/13/2024 17:16,,12.1,Edge,
JIRA-1195,Timezone conversion incorrect,Bug found in api module.,Minor,Open,api-gateway,dev.lead@company.com,,Development,Requirements,,2024-11-29 10:00:00,7.5,Edge,ubuntu
JIRA-2492,File upload fails for PDF files,Bug found in dashboard module.,Medium,Open,UI,qa.team@company.com,product@company.com,production,Development,2024-12-11 10:14:00,N/A,-1,Edge,ubuntu
JIRA-1037,Mobile app crashes on startup,Bug found in dashboard module.,Normal,Re-opened,user-dashboard,UNKNOWN,jane.smith@company.com,stg,Development,08-Aug-2024 19:20:00,09/01/2024,11.9,FIREFOX,ubuntu
JIRA-1251,Chart rendering fails with large datasets,Bug found in api module.,Blocker,TODO,Dashboard,UNKNOWN,product@company.com,development,requirements,2024-02-01 14:00:00,Not Yet,344,Edge,Android
JIRA-1554,Database timeout on user search,Bug found in payment module.,Blocker,InProgress,AUTH,,dev.lead@company.com,STAGE,Requirements,03/28/2024 13:27,N/A,36.2,IE,macOS
JIRA-1446,Email notifications not being sent,Bug found in payment module.,Blocker,TODO,payment-gateway,UNKNOWN,product@company.com,prod,,,02/05/2024,-1,IE,Mac
JIRA-1289,Session timeout too short,Bug found in dashboard module.,P1,,UI,UNKNOWN,UNKNOWN,Development,Development,,Not Yet,2 hours,,
JIRA-2068,Form validation bypassed on submit,Bug found in auth module.,Low,Reopened,EMAIL,john.doe@company.com,john.doe@company.com,stg,QA,09/13/2024 19:26,2024-09-27 04:26:00,2 hours,Edge,Android
JIRA-1806,File upload fails for PDF files,Bug found in db module.,MEDIUM,New,AUTH,qa.team@company.com,,Staging,Development,2024-11-06 16:02:00,11/18/2024,-1,FIREFOX,
JIRA-2498,Login button not responding on mobile,Bug found in auth module.,P3,IN_PROGRESS,Notifications,,john.doe@company.com,Production,Dev,2024-09-12 16:39:00,,15.9,chrome,macOS
JIRA-2564,Export to CSV produces empty file,Bug found in api module.,HIGH,Resolved,Payment,john.doe@company.com,,development,Testing,09-Sep-2024 18:31:00,,-1,Chrome,ubuntu
JIRA-1668,Session timeout too short,Bug found in db module.,Blocker,TODO,auth-service,,dev.lead@company.com,prod,Deployment,18-Jan-2024 13:43:00,,,,Mac
JIRA-2491,Chart rendering fails with large datasets,Bug found in payment module.,,New,DB,qa.team@company.com,john.doe@company.com,Development,,06/17/2024 13:43,2024-06-30 01:43:00,169,chrome,iOS
JIRA-1618,Search results return wrong data,Bug found in db module.,MEDIUM,Complete,user-dashboard,product@company.com,dev.lead@company.com,Development,DESIGN,1706030400.0,02/11/2024,1.6,IE,Windows 10
JIRA-2264,Mobile app crashes on startup,Bug found in payment module.,Normal,Resolved,Notifications,dev.lead@company.com,qa.team@company.com,Staging,Design,2024-03-07 18:56:00,,,Edge,iOS
JIRA-1527,Timezone conversion incorrect,Bug found in auth module.,LOW,,,,product@company.com,PROD,QA,,01/10/2024,2 hours,FIREFOX,Mac
JIRA-1354,Null pointer exception in auth module,Bug found in api module.,Major,Open,Payment,dev.lead@company.com,UNKNOWN,UAT,DESIGN,1722126060.0,,N/A,,Windows 10
JIRA-2232,Database timeout on user search,Bug found in auth module.,P3,TODO,DB,UNKNOWN,,Staging,requirements,18-Jan-2024 09:37:00,2024-01-27 11:37:00,3.2,Chrome,Linux
JIRA-1793,Export to CSV produces empty file,Bug found in dashboard module.,Critical,,AUTH,qa.team@company.com,,stg,DESIGN,,,N/A,IE,
JIRA-2712,Chart rendering fails with large datasets,Bug found in api module.,,Fixed,database,dev.lead@company.com,jane.smith@company.com,dev,Development,1708445640.0,2024-02-29 10:44:00,-1,Firefox,Windows 10
JIRA-1059,Session timeout too short,Bug found in dashboard module.,P0,Working,DB,qa.team@company.com,product@company.com,UAT,Design,2024-04-28 08:13:00,N/A,24.7,Chrome,
JIRA-2418,Payment gateway returns 500 error,Bug found in api module.,P3,Closed,payment-gateway,jane.smith@company.com,qa.team@company.com,development,Design,04/19/2024 17:33,Not Yet,1 day,Firefox,Linux
JIRA-2964,Search results return wrong data,Bug found in db module.,MEDIUM,Done,Authentication,john.doe@company.com,,UAT,Requirements,,01/02/2025,N/A,IE,iOS
JIRA-2380,Search results return wrong data,Bug found in auth module.,Normal,New,api-gateway,john.doe@company.com,UNKNOWN,stg,QA,31-Jul-2024 17:40:00,N/A,1 day,,Linux
JIRA-2543,CSS broken on Safari browser,Bug found in api module.,Critical,Closed,Authentication,dev.lead@company.com,,staging,Testing,,2024-11-01 17:03:00,1 day,Firefox,Android
JIRA-2344,UI overlapping on dashboard widgets,Bug found in auth module.,Major,InProgress,Backend,dev.lead@company.com,UNKNOWN,production,QA,,2024-06-05 22:48:00,1 day,IE,Windows 10
JIRA-2027,Mobile app crashes on startup,Bug found in db module.,LOW,OPEN,DB,dev.lead@company.com,product@company.com,,Testing,14-May-2024 20:58:00,06/08/2024,N/A,Firefox,iOS
JIRA-2975,Session timeout too short,Bug found in auth module.,P0,Verified,api-gateway,jane.smith@company.com,product@company.com,UAT,DESIGN,13-Jun-2024 06:33:00,06/22/2024,1 day,Safari,macOS
JIRA-2611,Form validation bypassed on submit,Bug found in payment module.,P1,Resolved,Backend,product@company.com,dev.lead@company.com,PROD,,08/22/2024 18:36,09/15/2024,,IE,Windows 10
JIRA-2365,Payment gateway returns 500 error,Bug found in payment module.,MEDIUM,Verified,database,dev.lead@company.com,product@company.com,stg,Development,,2024-12-15 12:03:00,1 day,Firefox,ubuntu
JIRA-2823,Timezone conversion incorrect,Bug found in api module.,Medium,OPEN,Database,,jane.smith@company.com,STAGE,Development,10/28/2024 02:00,N/A,-1,FIREFOX,Windows 10
