Bug #,Bug Title,Severity,Status Notes,Found By,Date Found,Module,Notes
425,slow performance,High,DONE,Auto Test,3/15/24,Dashboard,Found in sprint 5
426,login broken,Hi,need more info,,2024-02-20,Auth,
427,crash on mobile,very high,closed - duplicate,Auto Test,yesterday,Payments,Customer complaint
428,missing button,,Fixed,Auto Test,,UI,Found in sprint 5
429,error on submit,very high,waiting for deploy,Customer,yesterday,Login,Found in sprint 5
430,wrong calculation,med,Cant reproduce,QA Team,2024-02-20,API,
431,page not loading,Lo,,Auto Test,last week,Login,Critical for release
432,page not loading,Lo,waiting for deploy,,"Jan 15, 2024",Payments,
433,crash on mobile,High,,Auto Test,2024-02-20,Dashboard,Low priority
434,wrong calculation,Med,wont fix,Developer,,,Low priority
435,error on submit,Med,closed - duplicate,Customer,last week,Login,Happens sometimes
436,data not saving,low,Fixed by John on Monday,,April 2024,Payments,Found in sprint 5
437,page not loading,Lo,Fixed,QA Team,yesterday,Payments,Happens sometimes
438,crash on mobile,,Fixed,PM,,UI,Found in sprint 5
439,login broken,Medium,Fixed,PM,last week,Reports,
440,login broken,N/A,waiting for deploy,,last week,Dashboard,
441,timeout error,Very High,DONE,,"Jan 15, 2024",UI,
442,data not saving,V. High,Still working on it,,April 2024,,Happens sometimes
443,crash on mobile,Not Important,DONE,Auto Test,last week,API,
444,crash on mobile,Medium,,Developer,,Database,Happens sometimes
445,wrong calculation,low,Open,QA Team,2024-02-20,API,Happens sometimes
446,login broken,Medium,need more info,Customer,"Jan 15, 2024",Reports,Customer complaint
447,data not saving,High,,Auto Test,,Dashboard,Low priority
448,page not loading,Lo,Open,,3/15/24,Database,Low priority
449,page not loading,med,closed - duplicate,Auto Test,3/15/24,Login,Found in sprint 5
450,login broken,high,Fixed by John on Monday,,yesterday,API,
451,missing button,Med,Fixed,,yesterday,UI,
452,missing button,low,Open,Customer,"Jan 15, 2024",Database,
453,wrong calculation,med,waiting for deploy,Customer,April 2024,,
454,data not saving,Med,Fixed,PM,"Jan 15, 2024",Payments,
455,wrong calculation,Very High,DONE,PM,2024-02-20,UI,
456,wrong calculation,High,Still working on it,Customer,2024-02-20,Dashboard,Found in sprint 5
457,error on submit,High,need more info,,,,Customer complaint
458,page not loading,low,DONE,,,Login,
459,data not saving,Low,waiting for deploy,Customer,3/15/24,Payments,
460,slow performance,Medium,Fixed by John on Monday,QA Team,3/15/24,Auth,
461,data not saving,medium,,Auto Test,2024-02-20,Login,
462,crash on mobile,High,Open,Auto Test,April 2024,API,Critical for release
463,wrong calculation,med,waiting for deploy,Developer,,Dashboard,Found in sprint 5
464,timeout error,Very High,need more info,PM,2024-02-20,,Critical for release
465,missing button,,Open,,2024-02-20,Database,Critical for release
466,ui looks weird,Hi,Still working on it,Auto Test,April 2024,UI,Happens sometimes
467,data not saving,low,waiting for deploy,,"Jan 15, 2024",Reports,
468,missing button,N/A,Fixed,Customer,April 2024,,
469,error on submit,low,,,3/15/24,Auth,
470,crash on mobile,Not Important,,,2024-02-20,Auth,Low priority
471,page not loading,very high,Fixed by John on Monday,PM,"Jan 15, 2024",API,Happens sometimes
472,timeout error,Hi,Fixed by John on Monday,Auto Test,3/15/24,Login,
473,ui looks weird,N/A,Still working on it,PM,April 2024,Payments,Customer complaint
474,ui looks weird,high,,Auto Test,3/15/24,Login,Low priority
475,error on submit,Medium,,QA Team,yesterday,Auth,Found in sprint 5
476,ui looks weird,V. High,DONE,,last week,Login,Happens sometimes
477,login broken,Medium,Still working on it,Customer,April 2024,,Found in sprint 5
478,page not loading,low,Still working on it,Customer,2024-02-20,API,
479,missing button,high,Still working on it,Developer,,Database,Found in sprint 5
480,slow performance,Low,Still working on it,Customer,last week,Database,
481,ui looks weird,high,need more info,QA Team,yesterday,Login,Critical for release
482,wrong calculation,low,Still working on it,Auto Test,last week,,Happens sometimes
483,ui looks weird,Very High,,Auto Test,April 2024,API,Low priority
484,ui looks weird,V. High,waiting for deploy,Customer,yesterday,Auth,Low priority
485,slow performance,high,,PM,2024-02-20,Database,Customer complaint
486,wrong calculation,High,Cant reproduce,Customer,"Jan 15, 2024",,Critical for release
487,error on submit,,wont fix,,,Auth,Critical for release
488,slow performance,low,Fixed,PM,April 2024,Dashboard,
489,data not saving,high,Cant reproduce,Auto Test,April 2024,UI,Low priority
490,crash on mobile,Med,Open,Auto Test,2024-02-20,Reports,Customer complaint
491,missing button,Very High,Cant reproduce,Developer,2024-02-20,Payments,Critical for release
492,wrong calculation,Very High,Open,Customer,2024-02-20,Dashboard,Customer complaint
493,slow performance,High,,Customer,last week,,Customer complaint
494,data not saving,V. High,DONE,Auto Test,,Database,Happens sometimes
495,error on submit,Very High,DONE,Customer,"Jan 15, 2024",Payments,
496,error on submit,Med,need more info,Customer,2024-02-20,UI,Found in sprint 5
497,slow performance,low,Cant reproduce,Customer,,Auth,Happens sometimes
498,login broken,high,Open,,3/15/24,Reports,Found in sprint 5
499,crash on mobile,Hi,Fixed by John on Monday,PM,yesterday,Database,Low priority
500,slow performance,high,waiting for deploy,Customer,last week,Dashboard,Low priority
501,page not loading,V. High,wont fix,QA Team,3/15/24,,Happens sometimes
502,crash on mobile,Lo,,Customer,"Jan 15, 2024",Dashboard,Low priority
503,missing button,Not Important,waiting for deploy,,"Jan 15, 2024",,
504,crash on mobile,Med,closed - duplicate,,2024-02-20,Database,
505,timeout error,Medium,closed - duplicate,,April 2024,UI,
506,login broken,medium,,QA Team,,Reports,Found in sprint 5
507,slow performance,Very High,Still working on it,QA Team,last week,Dashboard,Found in sprint 5
508,ui looks weird,low,,QA Team,last week,Dashboard,
509,error on submit,high,Open,Customer,2024-02-20,Reports,Low priority
510,ui looks weird,low,Fixed by John on Monday,Auto Test,April 2024,Dashboard,Customer complaint
511,crash on mobile,very high,,QA Team,April 2024,Reports,Critical for release
512,login broken,med,Still working on it,QA Team,2024-02-20,Dashboard,
513,page not loading,Hi,waiting for deploy,,,Database,Critical for release
514,error on submit,,Open,Customer,3/15/24,Reports,Customer complaint
515,wrong calculation,Medium,need more info,QA Team,3/15/24,API,
516,wrong calculation,Medium,waiting for deploy,,last week,Payments,Happens sometimes
517,timeout error,,Fixed,,3/15/24,Reports,Happens sometimes
518,page not loading,Med,Fixed by John on Monday,,,Auth,
519,crash on mobile,,Fixed,PM,"Jan 15, 2024",Dashboard,Customer complaint
520,timeout error,Hi,,,April 2024,Database,Low priority
521,timeout error,Medium,Fixed,QA Team,April 2024,,
522,login broken,med,,QA Team,yesterday,UI,Critical for release
523,error on submit,med,waiting for deploy,,yesterday,Payments,Critical for release
524,missing button,,Cant reproduce,,April 2024,UI,Happens sometimes
525,slow performance,High,Still working on it,,3/15/24,Auth,Found in sprint 5
526,login broken,N/A,Fixed,PM,3/15/24,Dashboard,Customer complaint
527,slow performance,Very High,waiting for deploy,,3/15/24,Database,
528,error on submit,very high,Fixed by John on Monday,QA Team,2024-02-20,API,Low priority
529,slow performance,Medium,wont fix,,,UI,Found in sprint 5
530,timeout error,V. High,Cant reproduce,QA Team,,Dashboard,Critical for release
531,wrong calculation,Hi,Open,QA Team,April 2024,Payments,Customer complaint
532,login broken,Low,,,2024-02-20,,
533,page not loading,Very High,DONE,,2024-02-20,API,Critical for release
534,wrong calculation,Very High,Fixed,Customer,3/15/24,Auth,Found in sprint 5
535,crash on mobile,very high,Fixed,Developer,April 2024,Database,
536,timeout error,Med,need more info,PM,April 2024,Database,
537,timeout error,Med,Open,,"Jan 15, 2024",Dashboard,Critical for release
538,login broken,Low,DONE,Customer,"Jan 15, 2024",Dashboard,Low priority
539,missing button,,need more info,,,Dashboard,Critical for release
540,missing button,Hi,closed - duplicate,PM,,Login,Low priority
541,login broken,N/A,DONE,QA Team,3/15/24,Dashboard,
542,page not loading,,Cant reproduce,Customer,April 2024,Login,Critical for release
543,ui looks weird,very high,waiting for deploy,PM,April 2024,,
544,crash on mobile,Medium,need more info,Auto Test,,Login,Low priority
545,timeout error,very high,Still working on it,,April 2024,UI,Happens sometimes
546,wrong calculation,,Still working on it,Developer,"Jan 15, 2024",Database,Found in sprint 5
547,error on submit,V. High,closed - duplicate,PM,,Auth,Critical for release
548,slow performance,Low,Fixed by John on Monday,QA Team,"Jan 15, 2024",Database,
549,login broken,Lo,Fixed by John on Monday,,2024-02-20,Payments,
550,error on submit,,Still working on it,Customer,2024-02-20,Reports,Critical for release
551,page not loading,Medium,Still working on it,,2024-02-20,Auth,Customer complaint
552,login broken,Med,Open,Auto Test,,UI,Customer complaint
553,missing button,Not Important,Open,Customer,,Login,
554,timeout error,low,Open,,,Dashboard,Low priority
555,data not saving,Very High,DONE,Developer,,,
556,login broken,,need more info,Auto Test,3/15/24,API,Customer complaint
557,crash on mobile,Medium,Still working on it,Developer,,Login,
558,timeout error,medium,Fixed by John on Monday,Auto Test,"Jan 15, 2024",Reports,Customer complaint
559,slow performance,medium,closed - duplicate,,"Jan 15, 2024",Database,Found in sprint 5
560,error on submit,,DONE,QA Team,"Jan 15, 2024",Payments,Low priority
561,crash on mobile,,waiting for deploy,,"Jan 15, 2024",API,
562,page not loading,Not Important,waiting for deploy,PM,last week,Database,Critical for release
563,wrong calculation,medium,need more info,,yesterday,UI,Happens sometimes
564,wrong calculation,Lo,waiting for deploy,QA Team,"Jan 15, 2024",Payments,
565,slow performance,very high,,PM,,API,Low priority
566,missing button,High,Cant reproduce,Auto Test,,Login,Low priority
567,ui looks weird,Very High,DONE,,,Login,Found in sprint 5
568,error on submit,very high,,PM,April 2024,,
569,timeout error,Lo,DONE,PM,"Jan 15, 2024",Payments,Happens sometimes
570,slow performance,V. High,waiting for deploy,PM,April 2024,Login,Customer complaint
571,timeout error,Lo,closed - duplicate,Auto Test,yesterday,Payments,Critical for release
572,missing button,N/A,Fixed,Developer,,API,
573,ui looks weird,Not Important,Fixed,QA Team,"Jan 15, 2024",UI,Happens sometimes
574,data not saving,low,waiting for deploy,Customer,3/15/24,Login,Low priority
575,data not saving,,waiting for deploy,Auto Test,April 2024,Dashboard,Low priority
576,error on submit,Medium,,Auto Test,last week,Database,Found in sprint 5
577,missing button,,,,2024-02-20,UI,Customer complaint
578,crash on mobile,High,Cant reproduce,Auto Test,"Jan 15, 2024",Login,Customer complaint
579,ui looks weird,High,Open,Customer,3/15/24,Payments,Customer complaint
580,ui looks weird,N/A,DONE,,3/15/24,Reports,Found in sprint 5
581,page not loading,medium,Open,PM,"Jan 15, 2024",Auth,Critical for release
582,slow performance,very high,waiting for deploy,,"Jan 15, 2024",Database,Happens sometimes
583,timeout error,Hi,Fixed,,"Jan 15, 2024",,Happens sometimes
584,login broken,N/A,waiting for deploy,,3/15/24,Database,Happens sometimes
585,ui looks weird,Low,closed - duplicate,,last week,Login,Found in sprint 5
586,crash on mobile,high,DONE,QA Team,April 2024,Database,Found in sprint 5
587,data not saving,Hi,Still working on it,,yesterday,Database,
588,missing button,med,DONE,,April 2024,API,Low priority
589,error on submit,High,Still working on it,,last week,,
590,wrong calculation,N/A,Fixed,Developer,,Reports,Critical for release
591,slow performance,,,Customer,3/15/24,Database,
592,data not saving,V. High,waiting for deploy,Customer,last week,Login,Low priority
593,missing button,,closed - duplicate,PM,yesterday,UI,
594,error on submit,Med,Open,,3/15/24,UI,Critical for release
595,missing button,High,,QA Team,yesterday,Auth,
596,login broken,N/A,closed - duplicate,PM,April 2024,,Low priority
597,crash on mobile,low,need more info,PM,2024-02-20,UI,
598,timeout error,N/A,Fixed,Developer,"Jan 15, 2024",Auth,Found in sprint 5
599,crash on mobile,N/A,wont fix,QA Team,3/15/24,Dashboard,Critical for release
600,ui looks weird,very high,need more info,Customer,2024-02-20,UI,Happens sometimes
601,timeout error,N/A,need more info,,last week,Payments,Happens sometimes
602,login broken,V. High,Open,Auto Test,yesterday,Login,Low priority
603,error on submit,V. High,need more info,Developer,last week,Reports,Found in sprint 5
604,ui looks weird,Med,,,yesterday,Reports,Critical for release
605,page not loading,medium,Open,,last week,Login,Happens sometimes
606,timeout error,Hi,closed - duplicate,,last week,UI,
607,wrong calculation,low,wont fix,Developer,April 2024,Dashboard,
608,timeout error,Lo,Fixed,QA Team,yesterday,Auth,Critical for release
609,error on submit,Not Important,wont fix,Auto Test,2024-02-20,Auth,Critical for release
610,data not saving,V. High,wont fix,PM,2024-02-20,Login,
611,missing button,Hi,Fixed by John on Monday,Auto Test,last week,Login,Happens sometimes
612,slow performance,,,QA Team,yesterday,UI,Critical for release
613,slow performance,Lo,wont fix,Developer,3/15/24,Database,
614,crash on mobile,Med,need more info,QA Team,last week,UI,Happens sometimes
615,timeout error,medium,Fixed,Customer,,Login,Happens sometimes
616,missing button,Very High,need more info,,yesterday,Dashboard,Low priority
617,crash on mobile,Lo,,,,,
618,error on submit,High,closed - duplicate,,last week,Dashboard,Customer complaint
619,wrong calculation,N/A,Cant reproduce,Auto Test,April 2024,Database,
620,error on submit,,Still working on it,,yesterday,UI,Happens sometimes
621,page not loading,Lo,wont fix,QA Team,3/15/24,Login,Happens sometimes
622,slow performance,med,,,3/15/24,Reports,Low priority
623,missing button,high,DONE,,last week,,Low priority
624,page not loading,med,,Developer,last week,Auth,Critical for release
625,page not loading,Lo,,,2024-02-20,Database,Critical for release
626,slow performance,very high,Fixed,Auto Test,3/15/24,Payments,
627,data not saving,Not Important,Fixed by John on Monday,PM,2024-02-20,Database,Customer complaint
628,error on submit,Medium,closed - duplicate,,,Database,Critical for release
629,missing button,N/A,,Customer,,Reports,
630,login broken,Medium,Open,Customer,3/15/24,Dashboard,Happens sometimes
631,ui looks weird,Hi,Fixed by John on Monday,,3/15/24,,Customer complaint
632,page not loading,high,Fixed by John on Monday,PM,yesterday,Payments,Low priority
633,missing button,Med,,Customer,last week,Auth,Happens sometimes
634,wrong calculation,high,wont fix,,2024-02-20,API,Low priority
635,timeout error,V. High,need more info,Developer,,Dashboard,Happens sometimes
636,ui looks weird,medium,Fixed,Auto Test,,Login,
637,data not saving,Hi,wont fix,Developer,yesterday,Payments,Critical for release
638,timeout error,Lo,Open,Customer,last week,Reports,
639,ui looks weird,,DONE,,,API,Critical for release
640,page not loading,med,,PM,last week,Database,Low priority
641,ui looks weird,N/A,need more info,PM,yesterday,API,Critical for release
642,missing button,Hi,need more info,Developer,yesterday,,Customer complaint
643,slow performance,Very High,wont fix,Customer,3/15/24,Login,Customer complaint
644,missing button,,Open,Developer,April 2024,,Low priority
645,login broken,,,PM,yesterday,UI,Low priority
646,data not saving,high,Open,,yesterday,Auth,
647,error on submit,Not Important,Cant reproduce,,"Jan 15, 2024",Login,
648,wrong calculation,High,Cant reproduce,Customer,,Auth,Happens sometimes
649,crash on mobile,Hi,DONE,,"Jan 15, 2024",Login,Low priority
650,login broken,,,PM,"Jan 15, 2024",,
651,crash on mobile,Hi,waiting for deploy,,,API,
652,data not saving,Very High,Fixed by John on Monday,,April 2024,Reports,Found in sprint 5
653,data not saving,Lo,need more info,,"Jan 15, 2024",,Found in sprint 5
654,timeout error,Very High,Cant reproduce,Customer,April 2024,Dashboard,Critical for release
655,crash on mobile,N/A,Fixed,Customer,2024-02-20,Dashboard,Found in sprint 5
656,missing button,med,Open,Customer,last week,Auth,Customer complaint
657,missing button,Hi,Cant reproduce,QA Team,April 2024,Auth,Happens sometimes
658,page not loading,Hi,Still working on it,,,,
659,missing button,Low,wont fix,PM,,Reports,Low priority
660,timeout error,med,Fixed,,,Auth,Customer complaint
661,wrong calculation,low,closed - duplicate,,last week,Payments,
662,ui looks weird,Hi,wont fix,Customer,,Auth,Found in sprint 5
663,missing button,V. High,wont fix,QA Team,,Login,Customer complaint
664,wrong calculation,Lo,,,"Jan 15, 2024",Dashboard,Happens sometimes
665,missing button,Not Important,waiting for deploy,Customer,,Payments,Customer complaint
666,slow performance,very high,Cant reproduce,Customer,"Jan 15, 2024",Database,Low priority
667,missing button,very high,Still working on it,,3/15/24,API,Customer complaint
668,error on submit,Lo,Fixed,QA Team,,Login,Happens sometimes
669,data not saving,medium,Open,Customer,April 2024,Reports,Customer complaint
670,error on submit,high,need more info,,,Reports,
671,ui looks weird,low,,,,UI,Found in sprint 5
672,crash on mobile,Med,Fixed by John on Monday,PM,April 2024,Dashboard,Critical for release
673,login broken,Very High,Open,Customer,2024-02-20,UI,Critical for release
674,timeout error,med,,Customer,April 2024,Database,Found in sprint 5
675,page not loading,V. High,,Developer,2024-02-20,Reports,Critical for release
676,page not loading,N/A,wont fix,Developer,last week,Auth,Critical for release
677,error on submit,Hi,Still working on it,Customer,last week,Database,Found in sprint 5
678,missing button,med,,PM,2024-02-20,Reports,
679,login broken,Lo,Open,PM,yesterday,UI,Found in sprint 5
680,login broken,med,closed - duplicate,Developer,2024-02-20,API,Critical for release
681,missing button,Very High,wont fix,PM,2024-02-20,Dashboard,
682,crash on mobile,med,Cant reproduce,Customer,2024-02-20,Payments,
683,login broken,low,DONE,PM,,Auth,Critical for release
684,timeout error,High,Cant reproduce,Developer,2024-02-20,Database,
685,page not loading,Not Important,closed - duplicate,Auto Test,last week,Database,Customer complaint
686,error on submit,medium,waiting for deploy,,,Payments,Critical for release
687,wrong calculation,V. High,waiting for deploy,Customer,"Jan 15, 2024",,
688,data not saving,High,Still working on it,Customer,yesterday,Dashboard,Found in sprint 5
689,error on submit,Not Important,waiting for deploy,PM,April 2024,Payments,
690,page not loading,Medium,Cant reproduce,Customer,3/15/24,UI,Found in sprint 5
691,slow performance,high,Still working on it,,2024-02-20,,
692,timeout error,High,Open,,last week,Dashboard,Customer complaint
693,ui looks weird,low,Fixed,Auto Test,April 2024,Payments,
694,login broken,medium,need more info,QA Team,2024-02-20,UI,Critical for release
695,wrong calculation,V. High,Fixed by John on Monday,,,UI,Happens sometimes
696,data not saving,Hi,DONE,Developer,3/15/24,Dashboard,Low priority
697,ui looks weird,V. High,,Customer,last week,Auth,
698,error on submit,,Still working on it,Developer,April 2024,,
699,data not saving,V. High,wont fix,,"Jan 15, 2024",UI,Happens sometimes
700,slow performance,N/A,Fixed by John on Monday,QA Team,April 2024,UI,Critical for release
701,login broken,V. High,wont fix,PM,"Jan 15, 2024",Reports,Found in sprint 5
702,timeout error,very high,closed - duplicate,PM,last week,API,Critical for release
703,wrong calculation,Low,closed - duplicate,Auto Test,April 2024,Database,Happens sometimes
704,error on submit,High,Cant reproduce,QA Team,yesterday,Auth,Customer complaint
705,ui looks weird,Med,Fixed by John on Monday,PM,,API,Critical for release
706,crash on mobile,Hi,Cant reproduce,Auto Test,last week,Reports,Customer complaint
707,wrong calculation,Hi,wont fix,,last week,Dashboard,Low priority
708,slow performance,,wont fix,PM,"Jan 15, 2024",Auth,Critical for release
709,crash on mobile,Hi,need more info,Auto Test,last week,Dashboard,Low priority
710,data not saving,,waiting for deploy,Developer,April 2024,Dashboard,
711,page not loading,Hi,wont fix,PM,"Jan 15, 2024",Database,Critical for release
712,missing button,Not Important,Open,PM,3/15/24,Reports,
713,login broken,Lo,Fixed by John on Monday,Auto Test,yesterday,Auth,
714,error on submit,,,QA Team,,UI,
715,page not loading,med,Fixed by John on Monday,Developer,yesterday,Dashboard,Found in sprint 5
716,crash on mobile,medium,waiting for deploy,,2024-02-20,Auth,Happens sometimes
717,page not loading,V. High,wont fix,Customer,yesterday,Reports,Happens sometimes
718,ui looks weird,High,,QA Team,April 2024,Login,Found in sprint 5
719,ui looks weird,High,waiting for deploy,Auto Test,"Jan 15, 2024",Reports,Found in sprint 5
720,ui looks weird,N/A,wont fix,QA Team,2024-02-20,Reports,Found in sprint 5
721,slow performance,very high,closed - duplicate,Auto Test,"Jan 15, 2024",Reports,Happens sometimes
722,slow performance,Hi,wont fix,,yesterday,Dashboard,Happens sometimes
723,data not saving,N/A,Cant reproduce,PM,April 2024,Dashboard,Low priority
724,ui looks weird,Medium,DONE,Auto Test,April 2024,Reports,Found in sprint 5
725,error on submit,high,DONE,Developer,"Jan 15, 2024",Login,
726,slow performance,Very High,,PM,yesterday,Auth,Found in sprint 5
727,slow performance,Hi,,QA Team,yesterday,UI,
728,slow performance,Medium,closed - duplicate,Auto Test,,UI,Found in sprint 5
729,error on submit,Med,need more info,Customer,,Payments,Critical for release
730,timeout error,,Still working on it,Customer,April 2024,API,Customer complaint
731,ui looks weird,medium,waiting for deploy,Customer,April 2024,Database,Critical for release
732,ui looks weird,very high,waiting for deploy,Auto Test,,Database,Customer complaint
733,slow performance,very high,,Customer,yesterday,,Low priority
734,error on submit,very high,waiting for deploy,Auto Test,,,Happens sometimes
735,crash on mobile,medium,Fixed,PM,April 2024,,Found in sprint 5
736,ui looks weird,Low,Open,Auto Test,,Database,
737,login broken,V. High,need more info,,April 2024,Auth,Critical for release
738,missing button,med,Cant reproduce,Developer,,Auth,Found in sprint 5
739,wrong calculation,Lo,closed - duplicate,Developer,April 2024,Login,Critical for release
740,ui looks weird,Very High,Cant reproduce,Developer,2024-02-20,API,
741,crash on mobile,Med,need more info,QA Team,,Auth,Found in sprint 5
742,login broken,Medium,Still working on it,PM,"Jan 15, 2024",Database,Low priority
743,crash on mobile,Med,Still working on it,,April 2024,,Customer complaint
744,crash on mobile,Not Important,DONE,Developer,2024-02-20,API,Customer complaint
745,error on submit,medium,need more info,PM,"Jan 15, 2024",API,Low priority
746,login broken,Not Important,Cant reproduce,Developer,2024-02-20,Reports,
747,crash on mobile,Lo,Still working on it,QA Team,3/15/24,Dashboard,
748,slow performance,Hi,waiting for deploy,Auto Test,April 2024,Database,Low priority
749,slow performance,Not Important,Fixed,Auto Test,,API,Customer complaint
750,wrong calculation,Low,need more info,Auto Test,last week,Reports,Happens sometimes
751,slow performance,medium,closed - duplicate,Auto Test,,Dashboard,
752,slow performance,very high,Still working on it,Auto Test,April 2024,Database,Customer complaint
753,missing button,Very High,,,yesterday,Payments,
754,slow performance,Very High,closed - duplicate,Auto Test,April 2024,Dashboard,Happens sometimes
755,error on submit,N/A,,,2024-02-20,,Found in sprint 5
756,wrong calculation,high,,,last week,Payments,Critical for release
757,error on submit,N/A,waiting for deploy,,,Dashboard,Found in sprint 5
758,login broken,Med,Open,,2024-02-20,Reports,Found in sprint 5
759,page not loading,Med,,,"Jan 15, 2024",UI,Critical for release
760,login broken,N/A,DONE,Customer,3/15/24,Payments,Low priority
761,login broken,V. High,Cant reproduce,Customer,"Jan 15, 2024",,
762,login broken,Lo,Fixed,QA Team,last week,Reports,
763,timeout error,Hi,Cant reproduce,Auto Test,last week,Database,
764,page not loading,High,need more info,QA Team,,Dashboard,Customer complaint
765,login broken,low,Fixed,Customer,3/15/24,Payments,Customer complaint
766,missing button,Low,closed - duplicate,Developer,2024-02-20,Auth,Critical for release
767,login broken,Lo,need more info,Auto Test,April 2024,Auth,
768,page not loading,low,Fixed,Auto Test,,API,Found in sprint 5
769,missing button,Lo,closed - duplicate,,,API,
770,data not saving,low,Cant reproduce,,"Jan 15, 2024",Payments,Customer complaint
771,crash on mobile,med,Fixed by John on Monday,PM,2024-02-20,Database,Low priority
772,crash on mobile,med,Still working on it,,3/15/24,API,Found in sprint 5
773,crash on mobile,med,closed - duplicate,Customer,yesterday,Login,Critical for release
774,crash on mobile,V. High,Open,Auto Test,,Database,Customer complaint
775,data not saving,,,,3/15/24,Dashboard,
776,timeout error,med,closed - duplicate,QA Team,last week,API,Found in sprint 5
777,wrong calculation,medium,,Customer,last week,Dashboard,Happens sometimes
778,ui looks weird,Hi,,QA Team,April 2024,Dashboard,
779,ui looks weird,low,waiting for deploy,,3/15/24,Dashboard,Found in sprint 5
780,error on submit,High,Fixed by John on Monday,Customer,2024-02-20,Auth,Customer complaint
781,missing button,Med,Fixed by John on Monday,PM,April 2024,Auth,Customer complaint
782,timeout error,low,waiting for deploy,QA Team,,Database,
783,page not loading,Lo,,QA Team,,Auth,
784,data not saving,Very High,waiting for deploy,PM,,Auth,Low priority
785,crash on mobile,High,Fixed,QA Team,last week,Reports,Critical for release
786,error on submit,V. High,closed - duplicate,,3/15/24,Login,Low priority
787,slow performance,Med,waiting for deploy,QA Team,,Database,Customer complaint
788,missing button,Lo,DONE,Auto Test,,Payments,Happens sometimes
789,slow performance,Not Important,need more info,PM,yesterday,Database,
790,ui looks weird,med,DONE,Customer,yesterday,UI,Low priority
791,wrong calculation,Not Important,need more info,Customer,April 2024,Login,Found in sprint 5
792,crash on mobile,high,Cant reproduce,PM,yesterday,UI,Found in sprint 5
793,data not saving,Lo,Open,,"Jan 15, 2024",Reports,Customer complaint
794,login broken,very high,Still working on it,PM,,Auth,Found in sprint 5
795,login broken,Med,Fixed by John on Monday,Auto Test,April 2024,Dashboard,Customer complaint
796,timeout error,high,Still working on it,,,Dashboard,
797,missing button,High,Fixed,QA Team,,,Low priority
798,login broken,Low,,Auto Test,,API,
799,crash on mobile,high,Cant reproduce,Auto Test,,Dashboard,Low priority
800,crash on mobile,high,,,"Jan 15, 2024",Login,
801,page not loading,,closed - duplicate,Developer,April 2024,Auth,Low priority
802,slow performance,,Cant reproduce,QA Team,"Jan 15, 2024",UI,Critical for release
803,login broken,Very High,Still working on it,,"Jan 15, 2024",Payments,Critical for release
804,slow performance,high,Fixed by John on Monday,Developer,2024-02-20,,Found in sprint 5
805,page not loading,Very High,wont fix,Customer,yesterday,Login,
806,ui looks weird,,waiting for deploy,Customer,2024-02-20,Dashboard,
807,ui looks weird,medium,Still working on it,PM,,Database,
808,data not saving,V. High,,Customer,2024-02-20,Auth,Happens sometimes
809,login broken,V. High,need more info,,3/15/24,Reports,Critical for release
810,slow performance,High,Fixed by John on Monday,Developer,last week,Reports,Customer complaint
811,timeout error,High,,PM,,Payments,
812,wrong calculation,Medium,need more info,Developer,,Database,Happens sometimes
813,slow performance,Low,Still working on it,,April 2024,Reports,Happens sometimes
814,page not loading,N/A,Fixed by John on Monday,PM,last week,Reports,Low priority
815,slow performance,High,Fixed,Customer,last week,UI,Happens sometimes
816,wrong calculation,V. High,Fixed by John on Monday,Developer,,API,Customer complaint
817,crash on mobile,Low,need more info,Customer,"Jan 15, 2024",API,Critical for release
818,timeout error,med,waiting for deploy,QA Team,"Jan 15, 2024",Payments,Customer complaint
819,page not loading,Low,Still working on it,Auto Test,2024-02-20,,Customer complaint
820,missing button,High,,Developer,April 2024,Reports,Critical for release
821,ui looks weird,Med,need more info,Customer,"Jan 15, 2024",Auth,Happens sometimes
822,missing button,med,Open,,last week,Auth,Customer complaint
823,ui looks weird,High,Still working on it,,"Jan 15, 2024",API,Happens sometimes
824,ui looks weird,,DONE,Auto Test,"Jan 15, 2024",Login,Happens sometimes
825,page not loading,V. High,Fixed,Auto Test,3/15/24,API,
826,crash on mobile,Very High,waiting for deploy,QA Team,2024-02-20,Payments,Critical for release
827,login broken,med,closed - duplicate,Developer,April 2024,Database,
828,wrong calculation,very high,Open,QA Team,3/15/24,Auth,Found in sprint 5
829,page not loading,high,Cant reproduce,,"Jan 15, 2024",Auth,
830,page not loading,very high,,,April 2024,Payments,Customer complaint
831,ui looks weird,N/A,Open,QA Team,,Payments,Low priority
832,page not loading,medium,Fixed,PM,2024-02-20,Login,
833,crash on mobile,high,,Auto Test,April 2024,Dashboard,Found in sprint 5
834,ui looks weird,Very High,Open,,2024-02-20,UI,Happens sometimes
835,login broken,high,need more info,Customer,last week,Auth,Found in sprint 5
836,login broken,Lo,Cant reproduce,Customer,yesterday,Login,
837,missing button,V. High,wont fix,,,Payments,Found in sprint 5
838,missing button,Medium,,Customer,yesterday,Database,
839,slow performance,medium,waiting for deploy,,,API,
840,data not saving,Hi,Fixed by John on Monday,PM,yesterday,UI,
841,data not saving,Medium,Open,Customer,April 2024,Login,
842,data not saving,High,,,yesterday,Payments,Customer complaint
843,wrong calculation,Hi,wont fix,Auto Test,"Jan 15, 2024",Reports,
844,error on submit,Lo,Fixed by John on Monday,QA Team,2024-02-20,Login,Critical for release
